reason	eval	marked	sent_id	subj	obj	verb	subj_marked	criterion_subj	obj_marked	criterion_obj	verb_marked	criterion_verb	wo	sent_text	clause_type	subclause_type	subj_pos	obj_pos	subj_anim	obj_anim	subj_case	obj_case	wo_so	demoted_verb	verb_lemma
	1	true	train-s828	Участники	питание	оплачивают	true		false	NP syncretism: Neut Inan	true	Number: different	SVO	Участники фестиваля оплачивают питание, стоимость в 2011 составит от 2000 до 2500 рублей в зависимости от сроков записи.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		оплачивать
	1	true	train-s1320	Представители	композиции	включали	true		false	NP syncretism: Fem Nom=Acc (Inan Plur), and modifier does not help	false		SVO	Представители этого направления включали в мессу чисто инструментальные, нередко светского происхождения, композиции для органа или струнных ансамблей, вводили сольное ариозно-речитативное пение и т. д., -- то есть уходили всё дальше от собственно церковной музыки.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		включать
	1	true	train-s1868	батареи	прикрытие	обеспечивают	false	NP syncretism: Fem Nom=Acc (Inan Plur), and modifier does not help	false	NP syncretism: Neut Inan	true	Number: different	SVO	Развёрнутые батареи, находящиеся в непосредственном подчинении, обеспечивают прикрытие до 85 % территории страны.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		обеспечивать
misannotation	0	true	train-s1966	нарушение	вероятность	повышает	false	NP syncretism: Neut Inan, and modifier does not help	false	Nominal syncretism: Fem Nom=Acc (third declension, singular); and conjuncts do not help	true	Number: Verb in singular, whereas objects are coordinated	SVO	Это исследование допускает две трактовки: 1) ранние черепно-мозговые травмы повышают вероятность развития педофилии, 2) пренатальное нарушение развития нервной системы повышает вероятность и педофилии, и ранних черепно-мозговых травм (например, дети с СДВГ более склонны к различным травмам, в том числе и к черепно-мозговым, но полагать, что они вызывают СДВГ, неверно).	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		повышать
	1	true	n01033012	Анализ	связь	показывает	false	NP syncretism: Inan Masc	true	Nominal syncretism: Fem Nom=Acc (third declension, singular), but modifier helps	false		SVO	Анализ показывает прямую связь между количеством сигарет, выкуренных в течение жизни, и числом мутаций в ДНК опухоли.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		показывать
	1	true	w01141137	Бушар	поражение	потерпела	false	Indeclinable: Fem Nom=Acc	false	NP syncretism: Neut Inan, and modifier does not help	true	Gender: different (past tense)	SVO	Бушар потерпела сокрушительное поражение в трех сетах.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	SO		потерпеть
	1	true	w01150048	договор	часть	поделил	false	NP syncretism: Inan Masc, and modifier does not help	true	Nominal syncretism: Fem Nom=Acc (third declension, singular), but modifier helps	true	Gender: different (past tense)	SVO	Лондонский договор, подписанный 30 мая 1913 года, поделил значительную часть территории, на которую претендовала Албания, вне зависимости от этнического состава жителей, между Балканскими союзниками, сокращая территорию Албании до ее центральных регионов.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		поделить
	1	true	n05001005	лидеры	людей	представляют	true		true		false		SVO	Президент Сообщества Мадрида, Кристина Сифуэнтес, представляет наиболее консервативно настроенных людей, тогда как лидеры партии, такие как региональный заместитель министра Хавьер Марото, представляют наиболее прогрессивных людей.	main		NOUN	NOUN	Anim	Anim	Nom	Acc	SO		представлять
	1	true	2011Alpinizm.xml_165	Рост	отражение	нашел	false	NP syncretism: Inan Masc	false	NP syncretism: Neut Inan	true	Gender: different (past tense)	SVO	Рост спортивного мастерства в альпинизме нашел отражение в уровне требований на спортивные разряды.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		найти
	1	true	2003A_on_myatezhnyi.xml_12	Корнильевы	мануфактуры	создали	true		false	NP syncretism: Fem Nom=Acc (Inan Plur), and modifier does not help	false		SVO	Корнильевы создали в Сибири стекольные и бумажные мануфактуры, снабжали посудой аптеки и питейные дома Западной Сибири и Приморья, торговали с Бухарой и Китаем.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	SO		создать
	1	true	2007Buran.xml_44	США	систему	создают	false	NP syncretism: Plur Tant	true		true	Number: different	SVO	Стало очевидно, что США создают систему, не представляющую непосредственной угрозы, но могущую угрожать безопасности страны в будущем.	subordinate	ccomp	PROPN	NOUN	Inan	Inan	Nom	Acc	SO		создавать
	1	true	2007Buran.xml_47	ученые	волю	дали	true		true		true	Number: different	SVO	Советские ученые дали волю своей фантазии.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		дать
	1	true	2007Buran.xml_85	вариант	преимущества	имел	false	NP syncretism: Inan Masc, and modifier does not help	false	NP syncretism: Neut Inan, and modifier does not help	true	Number: different	SVO	И хотя такой вариант имел явные компоновочные преимущества, решили не рисковать - 11 июня 1976 года Совет главных конструкторов "волевым порядком" окончательно утвердил вариант корабля с горизонтальной посадкой.	subordinate	advcl	NOUN	NOUN	Inan	Inan	Nom	Acc	SO		иметь
	1	true	2011Facebook.xml_12	картина	реальности	воспроизводит	true		false	NP syncretism: Fem Nom=Acc (third declension, plural), and modifier does not help	true	Number: different	SVO	Несмотря на то что картина воспроизводит на экране современные реальности - элитный Гарвард с его вульгарными студенческими вечеринками, на которых Марк чувствует себя чужаком, судебные процедуры, связанные с исками против Марка его бывших соратников по созданию Facebook, финансовые перипетии с инвестициями в развитие компании, - фильм не столько о новом социальном и технологическом феномене, сколько о старой как мир загадке о сути человеческого существования среди себе подобных.	subordinate	acl	NOUN	NOUN	Inan	Inan	Nom	Acc	SO		воспроизводить
	1	true	2003Faraony_sobstvennoi_personoi.xml_4	египтолог	снимки	прислал	true		false	NP syncretism: Inan Masc, and modifier does not help	true	Number: different	SVO	В конце прошлого года английский египтолог Говард Джонс прислал в Москву, в лабораторию антропологической реконструкции Института этнологии и антропологии им. Н. Н. Миклухо-Маклая РАН, рентгеновские снимки черепов трех мумий из коллекции Британского музея.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		прислать
	1	true	2003Faraony_sobstvennoi_personoi.xml_16	антропологи	рисунки	сделали	true		false	NP syncretism: Inan Masc, and modifier does not help	false		SVO	На основе рентгенограмм российские антропологи сначала сделали контурные рисунки, а уже затем выполнили графические портреты фараонов в профиль и анфас.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		делать
	1	true	2012Galileo_Galilei.xml_47	правительство	разработку	поручало	false	NP syncretism: Neut Inan, and modifier does not help	true		true	Gender: different (past tense)	SVO	Студенты толпами стремились на его лекции, венецианское правительство непрестанно поручало Галилею разработку разного рода технических устройств, с ним активно переписываются молодой Кеплер и другие научные авторитеты того времени.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		поручать
	1	true	2012Galileo_Galilei.xml_140	переписка	информацию	содержит	true		true		false		OVS	Ценную информацию о жизни Галилея содержит сохранившаяся переписка Галилея с его старшей дочерью Вирджинией, в монашестве принявшей имя Мария-Челеста.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	OS		содержать
	1	true	2012Galileo_Galilei.xml_256	Декарт	позицию	отверг	true		true		true	Gender: different (past tense)	SVO	Декарт отверг такую позицию (в его физике основное внимание уделялось именно нахождению "главных причин"), однако начиная с Ньютона галилеевский подход становится преобладающим.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	SO		отвергнуть
	1	true	2007Grechko.xml_186	Американцы	обезьяну	раскрутили	true		true		true	Number: different	SVO	Американцы раскрутили обезьяну на восемь единиц, а потом посмотрели, что произошло с ее внутренними органами.	main		NOUN	NOUN	Anim	Anim	Nom	Acc	SO		раскрутить
	1	true	uppsalaKorp_621.xml_83	технология	эффект	даст	true		false	NP syncretism: Inan Masc, and modifier does not help	false		OSV	Наибольший народнохозяйственный эффект новая мембранная технология даст при извлечении ценных или токсичных компонентов из сточных вод либо разбавленных технологических растворов, например, в гидрометаллургических производствах.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	OS		дать
	1	true	2012Lozh_i_legitimnost.xml_66	отказ	движение	делает	true	Conjunct helps попытка	false	NP syncretism: Neut Inan	false		SVO	Именно отказ от осознания этого факта и попытка построения якобы постсоветской России на ощущении преемственности и вбирании в себя лжи предыдущих 75 лет, делает в принципе невозможным движение вперед и предопределяет деградацию общественного сознания.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		делать
	1	true	2013Doktor_Z.xml_119	работа	результат	принесла	true		false	NP syncretism: Inan Masc	true	Gender: different (past tense)	SVO	- Уже в силу того, что господин Пехтин временно ушел с поста наиболее этичного депутата Госдумы, моя работа принесла результат.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		принести
	1	true	2007Foto.xml_58	точность	технику	напоминает	false	Nominal syncretism: Fem Nom=Acc (third declension, singular); and conjuncts do not help	true		false		SVO	Первое подозрение закралось в его душу, когда однажды он понял, что точность и уверенность линии карандашных рисунков известного французского портретиста начала XIX века Жана Огюста Доминика Энгра напоминает ему технику американского художника-авангардиста Энди Уорхола.	subordinate	ccomp	NOUN	NOUN	Inan	Inan	Nom	Acc	SO		напоминать
	1	true	2012Iz_pochtovykh_yashchikov.xml_30	личности	перепись	проведут	false	NP syncretism: Fem Nom=Acc (third declension, plural), and modifier does not help	false	Nominal syncretism: Fem Nom=Acc (third declension, singular)	true	Number: different	SVO	В деревнях темные личности проведут от имени Зюганова или Прохорова перепись скота, поясняя хозяевам, что их начальник, одержав победу, экспроприирует излишки.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		провести
	1	true	uppsalaKorp_266.xml_16	бригада	Пример	показывает	true		false	NP syncretism: Inan Masc	false		OVS	Пример тому показывает бригада судомонтажников горьковского завода "Красное Сормово", возглавляемая коммунистом Б. Перевезенцевым.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	OS		показывать
	1	true	2009Letayushchaya_tarelka.xml_23	крыло	полеты	выполнило	false	NP syncretism: Neut Inan, and modifier does not help	false	NP syncretism: Inan Masc, and modifier does not help	true	Number: different	SVO	Спустя 14 лет это "дисковое крыло с кольцевым соплом по периметру" выполнило первые полеты, которые показали низкую устойчивость, и вскоре работы были прекращены.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		выполнить
	1	true	2009Letayushchaya_tarelka.xml_26	профессор	понятие	ввел	true		false	NP syncretism: Neut Inan	true	Gender: different (past tense)	SVO	В 1904 году профессор Геттингенского университета Людвиг Прандтль ввел понятие пограничного слоя - благодаря этому стало ясно, как, улучшив условия обтекания, уменьшить лобовое сопротивление движущихся тел.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		ввести
	1	true	2013Martovskaya_revolyutsiya.xml_62	Гитлер	решение	предлагал	true		false	NP syncretism: Neut Inan	true	Gender: different (past tense)	SVO	Гитлер предлагал не только решение практических задач, в частности, устранение ограничений Версальского договора.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	SO		предлагать
	1	true	2003Istoriya_tualeta.xml_8	большинство	сосуды	использовало	false	NP syncretism: Neut Inan, and modifier does not help	false	NP syncretism: Inan Masc, and modifier does not help; and conjuncts do not help	true	Number: different	SVO	Подавляющее большинство населения использовало специальные сосуды или естественные неровности местности.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		использовать
	1	true	2003Metis.xml_66	человек	происхождение	знает	true		false	NP syncretism: Neut Inan, and modifier does not help; and conjuncts do not help	true	Number: Verb in singular, whereas objects are coordinated	SVO	Очень показателен пример австралийских аборигенов - они создали удивительную систему счета родства, где каждый человек знает свое происхождение и, соответственно, кто потенциально может стать его женой.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		знать
	1	true	2003Nepotoplyaemye.xml_32	компании	возможность	предвкушают	false	NP syncretism: Fem Nom=Acc (Inan Plur), and modifier does not help	false	Nominal syncretism: Fem Nom=Acc (third declension, singular)	true	Number: different	SVO	Частные компании вовсю предвкушают возможность создания плавучих конструкций гигантских размеров, так называемых VLFS (Very Large Floating Structures), и понимают их необходимость.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		предвкушать
	1	true	2003Okhota.xml_25	база	роль	играют	true		true	Nominal syncretism: Fem Nom=Acc (third declension, singular), but modifier helps	true	Number: Verb in plural due to coordinated subjects	OVS	Немаловажную роль играют и современная материально-техническая база, и новейшее оборудование, которым оснащены инженерные институты и университеты Франции.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	OS		играть
	1	true	2003Plastikovaya_krepost.xml_94	Человек	карту	вытаскивал	true		true		true	Gender: different (past tense)	SVO	Человек вытаскивал карту и уходил.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		вытаскивать
деньги is incorrectly analyzed (since lemma ends in -и)	1	true	2003Somnambula_v_tumane.xml_256	Рузанна	деньги	заплатила	true		true	Indeclinable: Fem Nom=Acc, but modifier helps	true	Number: different	SVO	А тут Рузанна заплатила свои деньги и пожалуйста - искусство с доставкой на дом! - так они же еще и недовольны.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	SO		платить
	1	true	2003Son.xml_27	человек	сновидения	видит	true		false	NP syncretism: Neut Inan	true	Number: different	SVO	Именно на этой стадии человек видит сновидения, в это время его мозг и тело активны, сердечный ритм и показатели кровяного давления несколько повышены.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		видеть
	1	true	2003Stolknovenie_Vermeer.xml_38	положение	кончину	ускорило	false	NP syncretism: Neut Inan, and modifier does not help	true		true	Gender: different (past tense)	SVO	Бедственное положение ускорило кончину художника, умершего 16 декабря 1675 года от сердечного приступа.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		ускорить
	1	true	2003To_v_zhar_to_v_kholod.xml_8	ученые	данные	сопоставили	true		false	NP syncretism: Plur Tant, and modifier does not help	false		SVO	Когда ученые сопоставили эти данные с климатическими условиями, существовавшими на нашей планете миллионы лет тому назад, то оказалось, что пыли и микробов больше всего в тех слоях льда, которые соответствуют периодам глобального похолодания.	subordinate	advcl	NOUN	NOUN	Anim	Inan	Nom	Acc	SO		сопоставить
	1	true	2003Tyurma_britanskoi_korony.xml_18	работа	возможность	предоставляет	true		false	Nominal syncretism: Fem Nom=Acc (third declension, singular)	false		SVO	Другой слушатель сказал, что помимо помощи другим, работа эта предоставляет возможность просто встретиться с людьми, например, съездить на съезд самаритян и побыть пару дней в гостинице вместо тюрьмы.	subordinate	ccomp	NOUN	NOUN	Inan	Inan	Nom	Acc	SO		предоставлять
corrected	1	true	2003Tyurma_dlya_svekrovei.xml_5	свекрови	приданое	вымогают	false	NP syncretism: Fem Nom=Acc (third declension, plural)	false	NP syncretism: Neut Inan	true	Number: different	SVO	И именно свекрови буквально вымогают с родителей своих невесток приданое.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		вымогать
	1	true	2005Kompartii.xml_44	оппозиция	уроки	учтет	true		false	NP syncretism: Inan Masc	true	Number: different	VSO	Однако учтет ли оппозиция уроки прошлого?	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		учесть
	1	true	2005Mamleev_svadba.xml_188	человек	полушепот	расслышал	true		false	NP syncretism: Inan Masc, and modifier does not help	false		SVO	- Лесник я, открывайте! -  раздался уверенный голос за дверью, точно человек там расслышал этот полушепот.	subordinate	advcl	NOUN	NOUN	Anim	Inan	Nom	Acc	SO		расслышать
	1	true	2005Stranitsy_voennoi_istorii.xml_38	Победители	Лигу	учредили	true		true		true	Number: different	SVO	Победители учредили Лигу Наций (предшественницу нынешней ООН), цель которой - противодействие агрессии и сокращение вооружений.	main		NOUN	PROPN	Anim	Inan	Nom	Acc	SO		учредить
	1	true	2005Voennoe_bessilie.xml_21	боевики	амуницию	получают	false	NP syncretism: Inan Masc	true		true	Number: different	SVO	Когда нас уверяют, что граница закрыта и боевики теперь не получают военную амуницию, а они продолжают стрелять и взрывать, то как это понимать?	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		получать
	1	true	2007Beg_po_krugu.xml_83	появление	инфляцию	снижает	false	NP syncretism: Neut Inan	true		false		SVO	Не так давно серьезные экономисты начали поговаривать о том, что появление сетевых маркетов снижает инфляцию.	subordinate	acl	NOUN	NOUN	Inan	Inan	Nom	Acc	SO		снижать
	1	true	2007Bob.xml_58	коллеги	немцев	обвиняли	true		true		false		SVO	Американские коллеги обвиняли немцев в использовании запрещенных "коньков с подогревом", обработанных загадочной плазмой.	main		NOUN	NOUN	Anim	Anim	Nom	Acc	SO		обвинять
	1	true	2007Remni.xml_8	ремни	Нестерова	удерживали	false	NP syncretism: Inan Masc	true		true	Number: different	OVS	Если бы Нестерова удерживали ремни, то, скорее всего, он остался бы жив.	subordinate	advcl	NOUN	PROPN	Inan	Anim	Nom	Acc	OS		удерживать
	1	true	2008Bankovskii_krizis.xml_4	банкиры	ситуацию	обрисовывают	true		true		true	Number: different	SVO	В личных разговорах банкиры, не стесняясь в выражениях, обрисовывают ситуацию просто: "Денег нет!	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		обрисовывать
	1	true	2008Osoboe_mnenie.xml_4	дума	законопроект	отклонила	true		false	NP syncretism: Inan Masc	true	Gender: different (past tense)	SVO	И в то же время Государственная дума отклонила законопроект об образовательных кредитах.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		отклонить
	1	true	2009Biznes-obrazovanie.xml_13	Волков	бюджет	оценивает	true		false	NP syncretism: Inan Masc, and modifier does not help	false		OSV	Федеральный бюджет всей российской высшей школы в 2007 году Волков оценивает в $10 млрд, еще примерно столько же приносят студенты.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	OS		оценивать
	1	true	2009Chlenstvo_v_VTO.xml_47	Интерфакс	слова	цитирует	false	NP syncretism: Inan Masc	false	NP syncretism: Neut Inan	true	Number: different	SVO	Интерфакс цитирует слова научного руководителя Высшей школы экономки Евгения Ясина: "Я надеюсь, что до конца года последствия могут рассосаться из-за наложения на них других событий.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		цитировать
	1	true	2009Predkrizisnyi_perekur.xml_18	рабочие	работу	обеспечивали	true		true		true	Number: different	SVO	То есть профбосс играл по правилам: во время предупредительной забастовки другие рабочие обеспечивали работу конвейера.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		обеспечивать
	1	true	2009Sinie_vorotnichki.xml_38	университеты	спрос	восполняют	false	NP syncretism: Inan Masc, and modifier does not help	false	NP syncretism: Inan Masc, and modifier does not help	true	Number: different	SVO	Коммерческие университеты восполняют народный спрос на дипломы.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		восполнять
	1	true	2009Taktika_melkikh_shchelchkov.xml_14	пограничники	проверки	начали	true		false	NP syncretism: Fem Nom=Acc (Inan Plur)	false		SVO	После того, как Турция пропустила через Босфор в Черное море корабли НАТО, российские пограничники начали длительные, затягивающиеся на несколько дней проверки грузовиков из Турции.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		начать
	1	true	2009Tranzit_14.xml_30	отклонения	систему	вывели	false	NP syncretism: Neut Inan, and modifier does not help	true		true	Number: different	SVO	Казалось бы, незначительные отклонения от устойчивого состояния (напоминаю, все эти состояния локально устойчивы) вялого советского застоя вывели систему из равновесия.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		вывести
	1	true	2009Vysshaya_Shkola_Ekonomiki.xml_16	Государство	стратегию	будет	false	NP syncretism: Neut Inan	true		false		SVO	"Государство и дальше будет определять стратегию развития университета, задавать определенные рамки и направление.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO	определять	быть
	1	true	2009Zanimatelnye_tsifry.xml_77	чиновники	безработных	кинули	true		true		false		SVO	Ясно, что на деле чиновники попросту кинули безработных.	subordinate	ccomp	NOUN	NOUN	Anim	Anim	Nom	Acc	SO		кидать
	1	true	2010Chistka_v_sporte.xml_4	президент	президентов	сравнил	true		true		true	Number: different	SVO	После Олимпиады в Ванкувере президент Дмитрий Медведев сравнил президентов многих федераций с "жирными котами": мол, они годами руководят спортом, но на самом деле ничего не делают.	main		NOUN	NOUN	Anim	Anim	Nom	Acc	SO		сровнять
	1	true	2010Lyzhi.xml_22	Бьорген	победу	одержала	false	Indeclinable: Fem Nom=Acc	true		false		SVO	В классическом индивидуальном спринте Бьорген одержала свою первую победу, а полька пришла второй.	main		PROPN	NOUN	Anim	Inan	Nom	Acc	SO		одержать
	1	true	2010Sokrashchenie_vuzov.xml_23	г-н	позицию	занимает	true		true		false		OVS	Достаточно твердую позицию в этом вопросе занимает г-н Любимов.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	OS		занимать
	1	true	2010Tsilindry_Faraona.xml_97	Доктор	интерпретацию	дал	true		true		true	Gender: different (past tense)	SVO	Доктор медицинских наук, старший научный сотрудник НИИ Скорой Помощи им. И. И. Джанелидзе М. А. Никулин в процессе медицинских исследований воздействия на организм человека Цилиндров Фараона, дал следующую интерпретацию:	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		дать
	1	true	2011Planerizm.xml_146	планеристы	участие	принимают	true		false	NP syncretism: Neut Inan	true	Number: different	SVO	Кроме состязаний в дальности полета планеристы на соревнованиях также принимают участие в гонках друг с другом.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		принимать
	1	true	2011Planerizm.xml_209	маневры	возможность	дают	false	NP syncretism: Inan Masc, and modifier does not help	false	Nominal syncretism: Fem Nom=Acc (third declension, singular)	true	Number: different	SVO	Эффективные маневры также дают возможность завершить целую программу на доступной высоте.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		давать
	1	true	2011Planerizm.xml_233	Инструктор	запуски	осуществляет	true		false	NP syncretism: Inan Masc, and modifier does not help; and conjuncts do not help	true	Number: different	SVO	Инструктор осуществляет первые запуски и приземления, обычно с заднего места, а ученик управляет планером в полете.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		осуществлять
	1	true	2011Planerizm.xml_239	ученик	навыки	приобретет	true		false	NP syncretism: Inan Masc	true	Number: different	SVO	После первого самостоятельного полета обучение с инструктором продолжается, пока ученик не приобретет навыки полета на расстояние.	subordinate	advcl	NOUN	NOUN	Anim	Inan	Nom	Acc	SO		приобрести
	1	true	2011Sinkhronnoe_plavanie.xml_55	Федерация	задачи	ставит	true		false	NP syncretism: Fem Nom=Acc (Inan Plur), and modifier does not help	true	Number: different	SVO	Сегодня на пороге нового олимпийского цикла Федерация синхронного плавания ставит перед собой новые и все более сложные задачи, поскольку завоевать мировое лидерство трудно, а удерживать его год от года еще труднее.	main		PROPN	NOUN	Inan	Inan	Nom	Acc	SO		ставить
	1	true	2012Teorema_Stolypina.xml_110	Преобразования	деревню	меняли	false	NP syncretism: Neut Inan	true		true	Number: different	SVO	Преобразования достаточно быстро меняли российскую деревню, притом качественно в лучшую сторону.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		менять
	1	true	2012Teorema_Stolypina.xml_121	Реформа	возможность	предоставляла	true		true	Nominal syncretism: Fem Nom=Acc (third declension, singular), but modifier helps	false		SVO	Реформа, делавшая крестьян собственниками своей земли, и предоставляла народу такую возможность, ибо собственность - основа любого цивилизованного правопорядка - и есть одно из главных условий самостоятельности.	main		NOUN	NOUN	Inan	Inan	Nom	Acc	SO		предоставлять
	1	true	2013Maski.xml_45	Папуасы	маски	делали	true		false	NP syncretism: Fem Nom=Acc (Inan Plur)	false		SVO	Папуасы делали маски из пальмовых волокон и перьев райской птицы.	main		NOUN	NOUN	Anim	Inan	Nom	Acc	SO		делать
